# 4aecb678-807d-4621-b23c-c4c136113f5e
# 6e606bd4c2c9338f6d3dcddbf5b310adfc803c43
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; wr_m; wl_m
0.000; 3.605; 4.432; -2.862; 1.094; 0.952; -0.010; 1.165; 0.240
0.050; 3.557; 4.417; -2.808; 1.067; 0.952; 0.016; 1.124; 0.251
0.100; 3.510; 4.400; -2.756; 1.038; 0.952; 0.040; 1.084; 0.264
0.150; 3.465; 4.380; -2.705; 1.009; 0.954; 0.062; 1.046; 0.280
0.200; 3.420; 4.357; -2.655; 0.981; 0.958; 0.082; 1.010; 0.300
0.250; 3.376; 4.333; -2.607; 0.954; 0.962; 0.098; 0.975; 0.321
0.300; 3.334; 4.307; -2.560; 0.929; 0.967; 0.112; 0.941; 0.345
0.349; 3.293; 4.278; -2.514; 0.907; 0.973; 0.123; 0.909; 0.370
0.399; 3.253; 4.248; -2.469; 0.887; 0.979; 0.131; 0.877; 0.396
0.449; 3.215; 4.216; -2.425; 0.870; 0.986; 0.135; 0.848; 0.425
0.499; 3.178; 4.182; -2.382; 0.857; 0.993; 0.136; 0.820; 0.452
0.549; 3.142; 4.147; -2.340; 0.847; 0.999; 0.134; 0.792; 0.481
0.599; 3.109; 4.111; -2.299; 0.796; 1.006; 0.174; 0.767; 0.510
0.649; 3.076; 4.073; -2.260; 0.743; 1.015; 0.215; 0.742; 0.538
0.699; 3.045; 4.034; -2.225; 0.688; 1.025; 0.256; 0.718; 0.568
0.749; 3.016; 3.994; -2.192; 0.633; 1.038; 0.297; 0.695; 0.597
0.799; 2.987; 3.953; -2.162; 0.578; 1.052; 0.338; 0.673; 0.625
0.849; 2.960; 3.911; -2.134; 0.525; 1.068; 0.379; 0.650; 0.655
0.899; 2.934; 3.869; -2.109; 0.472; 1.085; 0.420; 0.628; 0.684
0.949; 2.909; 3.825; -2.087; 0.421; 1.104; 0.462; 0.606; 0.713
0.999; 2.884; 3.781; -2.067; 0.371; 1.125; 0.505; 0.586; 0.742
1.048; 2.861; 3.737; -2.050; 0.322; 1.147; 0.550; 0.564; 0.771
1.098; 2.838; 3.693; -2.035; 0.274; 1.171; 0.596; 0.544; 0.800
1.148; 2.816; 3.648; -2.023; 0.210; 1.196; 0.670; 0.525; 0.829
1.198; 2.794; 3.602; -2.014; 0.145; 1.224; 0.670; 0.506; 0.858
1.248; 2.773; 3.557; -2.008; 0.079; 1.251; 0.669; 0.488; 0.888
1.298; 2.752; 3.512; -2.006; 0.013; 1.277; 0.667; 0.469; 0.916
1.348; 2.731; 3.466; -2.007; -0.054; 1.303; 0.666; 0.453; 0.945
1.398; 2.710; 3.421; -2.011; -0.121; 1.328; 0.665; 0.435; 0.974
1.448; 2.688; 3.376; -2.019; -0.188; 1.353; -0.134; 0.421; 1.004
1.498; 2.666; 3.331; -2.030; -0.256; 1.348; -0.463; 0.403; 1.033
1.548; 2.644; 3.287; -2.044; -0.323; 1.331; -0.358; 0.388; 1.063
1.598; 2.621; 3.243; -2.062; -0.390; 1.317; -0.255; 0.371; 1.092
1.648; 2.597; 3.199; -2.083; -0.456; 1.308; -0.240; 0.356; 1.122
1.698; 2.572; 3.156; -2.106; -0.471; 1.299; -0.226; 0.341; 1.153
1.747; 2.546; 3.113; -2.130; -0.485; 1.290; -0.211; 0.325; 1.183
1.797; 2.519; 3.071; -2.155; -0.500; 1.282; -0.195; 0.314; 1.212
1.847; 2.491; 3.030; -2.180; -0.516; 1.274; -0.177; 0.297; 1.242
1.897; 2.462; 2.990; -2.206; -0.533; 1.267; -0.158; 0.287; 1.271
1.947; 2.432; 2.950; -2.233; -0.550; 1.261; -0.138; 0.275; 1.300
1.997; 2.400; 2.911; -2.261; -0.567; 1.255; -0.116; 0.265; 1.329
2.047; 2.368; 2.873; -2.290; -0.585; 1.251; -0.093; 0.260; 1.357
2.097; 2.335; 2.836; -2.320; -0.603; 1.247; -0.069; 0.252; 1.385
2.147; 2.300; 2.800; -2.350; -0.622; 1.244; -0.043; 0.252; 1.413
2.197; 2.264; 2.765; -2.382; -0.640; 1.243; -0.043; 0.251; 1.423
2.247; 2.228; 2.731; -2.414; -0.639; 1.241; -0.047; 0.253; 1.396
2.297; 2.190; 2.698; -2.445; -0.639; 1.239; -0.050; 0.264; 1.370
2.347; 2.151; 2.667; -2.477; -0.639; 1.237; -0.053; 0.268; 1.344
2.397; 2.112; 2.637; -2.509; -0.641; 1.235; -0.054; 0.279; 1.319
2.446; 2.071; 2.608; -2.541; -0.643; 1.233; -0.053; 0.293; 1.295
2.496; 2.029; 2.581; -2.573; -0.646; 1.230; -0.051; 0.305; 1.271
2.546; 1.987; 2.554; -2.606; -0.649; 1.228; -0.047; 0.323; 1.249
2.596; 1.943; 2.530; -2.638; -0.653; 1.226; -0.043; 0.337; 1.228
2.646; 1.899; 2.506; -2.671; -0.658; 1.225; -0.037; 0.353; 1.207
2.696; 1.854; 2.484; -2.704; -0.664; 1.223; -0.030; 0.371; 1.188
2.746; 1.809; 2.464; -2.738; -0.670; 1.222; -0.030; 0.386; 1.169
2.796; 1.763; 2.445; -2.770; -0.639; 1.221; 0.018; 0.405; 1.152
2.846; 1.716; 2.428; -2.801; -0.608; 1.221; 0.064; 0.419; 1.136
2.896; 1.669; 2.412; -2.831; -0.577; 1.224; 0.106; 0.435; 1.121
2.946; 1.621; 2.397; -2.859; -0.546; 1.228; 0.146; 0.450; 1.107
2.996; 1.573; 2.384; -2.885; -0.516; 1.234; 0.183; 0.465; 1.094
3.046; 1.524; 2.372; -2.910; -0.488; 1.242; 0.217; 0.480; 1.081
3.095; 1.476; 2.361; -2.934; -0.460; 1.250; 0.250; 0.494; 1.070
3.145; 1.427; 2.351; -2.956; -0.433; 1.260; 0.281; 0.507; 1.059
3.195; 1.377; 2.342; -2.977; -0.407; 1.271; 0.310; 0.521; 1.049
3.245; 1.328; 2.335; -2.997; -0.382; 1.283; 0.338; 0.533; 1.040
3.295; 1.278; 2.328; -3.015; -0.358; 1.297; 0.364; 0.546; 1.031
3.345; 1.228; 2.322; -3.033; -0.342; 1.311; 0.379; 0.556; 1.023
3.395; 1.179; 2.317; -3.050; -0.325; 1.325; 0.394; 0.567; 1.016
3.445; 1.129; 2.313; -3.065; -0.309; 1.340; 0.410; 0.577; 1.009
3.495; 1.079; 2.309; -3.080; -0.292; 1.355; 0.427; 0.585; 1.003
3.545; 1.029; 2.307; -3.095; -0.275; 1.370; 0.446; 0.593; 0.997
3.595; 0.979; 2.305; -3.108; -0.258; 1.387; 0.465; 0.601; 0.992
3.645; 0.929; 2.303; -3.120; -0.241; 1.403; 0.486; 0.606; 0.988
3.695; 0.879; 2.303; -3.132; -0.224; 1.420; 0.508; 0.612; 0.984
3.745; 0.830; 2.302; 3.140; -0.207; 1.438; 0.531; 0.617; 0.980
3.794; 0.780; 2.303; 3.131; -0.189; 1.457; 0.556; 0.620; 0.977
3.844; 0.730; 2.304; 3.122; -0.172; 1.475; 0.581; 0.624; 0.975
3.894; 0.680; 2.305; 3.114; -0.150; 1.495; 0.619; 0.626; 0.973
3.944; 0.630; 2.306; 3.107; -0.128; 1.516; 0.654; 0.628; 0.971
3.994; 0.580; 2.308; 3.101; -0.105; 1.537; 0.653; 0.631; 0.969
4.044; 0.530; 2.310; 3.096; -0.083; 1.558; 0.651; 0.632; 0.968
4.094; 0.480; 2.313; 3.092; -0.060; 1.579; 0.650; 0.632; 0.967
4.144; 0.430; 2.315; 3.090; -0.037; 1.599; 0.649; 0.634; 0.967
4.194; 0.381; 2.318; 3.089; -0.014; 1.619; -0.215; 0.634; 0.966
4.244; 0.331; 2.321; 3.089; 0.009; 1.613; -0.971; 0.634; 0.966
4.294; 0.281; 2.323; 3.090; 0.031; 1.582; -0.917; 0.635; 0.966
4.344; 0.231; 2.326; 3.092; 0.054; 1.553; -0.866; 0.635; 0.965
4.394; 0.181; 2.328; 3.095; 0.078; 1.525; -0.818; 0.635; 0.965
4.444; 0.131; 2.330; 3.100; 0.101; 1.498; -0.773; 0.636; 0.964
4.493; 0.082; 2.332; 3.105; 0.125; 1.472; -0.730; 0.635; 0.964
4.543; 0.032; 2.334; 3.112; 0.149; 1.447; -0.691; 0.636; 0.963
4.593; -0.018; 2.335; 3.120; 0.173; 1.423; -0.654; 0.638; 0.962
4.643; -0.068; 2.336; 3.129; 0.197; 1.400; -0.620; 0.638; 0.959
4.693; -0.118; 2.336; 3.140; 0.220; 1.378; -0.588; 0.639; 0.956
4.743; -0.168; 2.336; -3.132; 0.244; 1.356; -0.559; 0.642; 0.952
4.793; -0.218; 2.335; -3.119; 0.268; 1.335; -0.531; 0.643; 0.947
4.843; -0.268; 2.334; -3.105; 0.291; 1.315; -0.506; 0.646; 0.940
4.893; -0.318; 2.332; -3.090; 0.314; 1.296; -0.484; 0.650; 0.931
4.943; -0.367; 2.329; -3.074; 0.337; 1.277; -0.463; 0.653; 0.921
4.993; -0.417; 2.325; -3.057; 0.359; 1.259; -0.443; 0.657; 0.907
5.043; -0.467; 2.320; -3.038; 0.382; 1.241; -0.423; 0.663; 0.891
5.093; -0.516; 2.315; -3.018; 0.405; 1.224; -0.404; 0.668; 0.874
5.142; -0.566; 2.308; -2.998; 0.429; 1.208; -0.386; 0.675; 0.855
5.192; -0.615; 2.300; -2.976; 0.453; 1.191; -0.368; 0.683; 0.835
5.242; -0.664; 2.292; -2.952; 0.477; 1.176; -0.352; 0.690; 0.815
5.292; -0.713; 2.282; -2.928; 0.501; 1.161; -0.336; 0.699; 0.795
5.342; -0.762; 2.270; -2.902; 0.525; 1.146; -0.321; 0.710; 0.774
5.392; -0.810; 2.258; -2.876; 0.550; 1.132; -0.308; 0.720; 0.752
5.442; -0.858; 2.244; -2.848; 0.573; 1.119; -0.296; 0.732; 0.732
5.492; -0.906; 2.229; -2.818; 0.596; 1.105; -0.288; 0.746; 0.709
5.542; -0.953; 2.212; -2.788; 0.617; 1.092; -0.279; 0.759; 0.688
5.592; -0.999; 2.194; -2.757; 0.639; 1.079; -0.268; 0.775; 0.665
5.642; -1.045; 2.175; -2.724; 0.663; 1.067; -0.256; 0.792; 0.643
5.692; -1.091; 2.154; -2.691; 0.688; 1.055; -0.244; 0.809; 0.619
5.742; -1.135; 2.131; -2.656; 0.715; 1.043; -0.230; 0.828; 0.597
5.792; -1.179; 2.107; -2.619; 0.742; 1.032; -0.217; 0.849; 0.572
5.841; -1.222; 2.082; -2.581; 0.770; 1.022; -0.203; 0.869; 0.549
5.891; -1.263; 2.054; -2.542; 0.799; 1.012; -0.190; 0.892; 0.525
5.941; -1.304; 2.025; -2.502; 0.826; 1.002; -0.178; 0.917; 0.501
5.991; -1.344; 1.994; -2.460; 0.853; 0.993; -0.167; 0.942; 0.477
6.041; -1.382; 1.962; -2.416; 0.879; 0.985; -0.166; 0.968; 0.452
6.091; -1.419; 1.928; -2.372; 0.882; 0.977; -0.177; 0.996; 0.430
6.141; -1.454; 1.892; -2.327; 0.891; 0.968; -0.185; 1.025; 0.405
6.191; -1.488; 1.855; -2.282; 0.906; 0.958; -0.185; 1.055; 0.383
6.241; -1.520; 1.816; -2.236; 0.926; 0.948; -0.178; 1.087; 0.359
6.291; -1.550; 1.776; -2.189; 0.953; 0.939; -0.165; 1.119; 0.338
6.341; -1.578; 1.734; -2.140; 0.985; 0.930; -0.147; 1.153; 0.319
6.391; -1.604; 1.691; -2.090; 1.023; 0.922; -0.124; 1.187; 0.300
6.441; -1.627; 1.648; -2.038; 1.066; 0.915; -0.094; 1.222; 0.285
6.491; -1.648; 1.603; -1.984; 1.113; 0.910; -0.059; 1.258; 0.268
6.540; -1.667; 1.557; -1.928; 1.164; 0.907; -0.016; 1.294; 0.257
6.590; -1.683; 1.511; -1.870; 1.218; 0.906; -0.016; 1.332; 0.246
6.640; -1.696; 1.462; -1.809; 1.186; 0.905; 0.012; 1.371; 0.238
6.690; -1.706; 1.413; -1.751; 1.142; 0.906; 0.047; 1.411; 0.231
6.740; -1.714; 1.364; -1.695; 1.097; 0.908; 0.078; 1.451; 0.228
6.790; -1.719; 1.314; -1.642; 1.053; 0.913; 0.107; 1.492; 0.222
6.840; -1.721; 1.265; -1.590; 1.010; 0.919; 0.131; 1.527; 0.222
6.890; -1.721; 1.215; -1.541; 0.971; 0.926; 0.151; 1.508; 0.221
6.940; -1.718; 1.165; -1.493; 0.936; 0.934; 0.167; 1.480; 0.222
6.990; -1.713; 1.115; -1.447; 0.905; 0.943; 0.178; 1.448; 0.226
7.040; -1.706; 1.066; -1.402; 0.879; 0.952; 0.185; 1.415; 0.228
7.090; -1.696; 1.017; -1.359; 0.858; 0.962; 0.188; 1.379; 0.236
7.140; -1.685; 0.968; -1.317; 0.843; 0.971; 0.186; 1.342; 0.242
7.190; -1.671; 0.920; -1.275; 0.826; 0.981; 0.186; 1.304; 0.253
7.239; -1.656; 0.873; -1.235; 0.807; 0.990; 0.189; 1.266; 0.264
7.289; -1.639; 0.826; -1.195; 0.785; 1.000; 0.196; 1.228; 0.279
7.339; -1.620; 0.781; -1.157; 0.760; 1.009; 0.205; 1.191; 0.294
7.389; -1.599; 0.735; -1.120; 0.733; 1.020; 0.217; 1.153; 0.313
7.439; -1.576; 0.691; -1.084; 0.706; 1.030; 0.230; 1.116; 0.331
7.489; -1.552; 0.647; -1.049; 0.677; 1.041; 0.244; 1.080; 0.353
7.539; -1.526; 0.604; -1.016; 0.649; 1.053; 0.259; 1.043; 0.374
7.589; -1.499; 0.562; -0.984; 0.620; 1.065; 0.274; 1.008; 0.399
7.639; -1.471; 0.521; -0.954; 0.591; 1.078; 0.290; 0.972; 0.422
7.689; -1.441; 0.480; -0.925; 0.573; 1.091; 0.294; 0.937; 0.448
7.739; -1.411; 0.441; -0.897; 0.571; 1.105; 0.278; 0.904; 0.474
7.789; -1.379; 0.403; -0.868; 0.571; 1.117; 0.262; 0.871; 0.500
7.839; -1.347; 0.365; -0.840; 0.573; 1.129; 0.245; 0.838; 0.527
7.888; -1.313; 0.329; -0.811; 0.575; 1.139; 0.227; 0.806; 0.553
7.938; -1.278; 0.293; -0.782; 0.580; 1.149; 0.208; 0.775; 0.582
